,model,subcomponent,errors
2020-10-01,SARIMAX,DOAA,-0.41154559987435846
2020-11-01,SARIMAX,DOAA,1.4713635201294721
2020-12-01,SARIMAX,DOAA,5.873372368808361
2021-01-01,SARIMAX,DOAA,5.773280533705133
2021-02-01,SARIMAX,DOAA,4.38071885011189
2021-03-01,SARIMAX,DOAA,5.399799038627748
2021-04-01,SARIMAX,DOAA,5.159370104724161
2021-05-01,SARIMAX,DOAA,6.196044875581521
2021-06-01,SARIMAX,DOAA,1.6640342927538825
2021-07-01,SARIMAX,DOAA,1.8759702964222527
2021-08-01,SARIMAX,DOAA,2.636750403803859
2021-09-01,SARIMAX,DOAA,0.7932320216721394
2021-10-01,SARIMAX,DOAA,-0.3592320938864191
2021-11-01,SARIMAX,DOAA,1.2845136658682748
2021-12-01,SARIMAX,DOAA,-1.0636554293845109
2022-01-01,SARIMAX,DOAA,-2.0629746169884413
2022-02-01,SARIMAX,DOAA,-1.3075946495599169
2022-03-01,SARIMAX,DOAA,-4.648105757658868
2022-04-01,SARIMAX,DOAA,-6.618155032289508
2022-05-01,SARIMAX,DOAA,-11.799263589744015
2022-06-01,SARIMAX,DOAA,-18.465636444977918
2022-07-01,SARIMAX,DOAA,-22.058723344162047
2022-08-01,SARIMAX,DOAA,-24.08004371936579
2022-09-01,SARIMAX,DOAA,-28.752897257415555
2020-10-01,SARIMAX,DOAB,4.404718592037938
2020-11-01,SARIMAX,DOAB,1.6300875572095777
2020-12-01,SARIMAX,DOAB,4.627573012171979
2021-01-01,SARIMAX,DOAB,3.6565558021417814
2021-02-01,SARIMAX,DOAB,5.553488360072578
2021-03-01,SARIMAX,DOAB,9.502192792048362
2021-04-01,SARIMAX,DOAB,9.79203268106204
2021-05-01,SARIMAX,DOAB,9.999321086442876
2021-06-01,SARIMAX,DOAB,12.154430453580432
2021-07-01,SARIMAX,DOAB,11.864468509234001
2021-08-01,SARIMAX,DOAB,11.082396703226124
2021-09-01,SARIMAX,DOAB,8.508243190971456
2021-10-01,SARIMAX,DOAB,9.267251944061059
2021-11-01,SARIMAX,DOAB,4.986982057103461
2021-12-01,SARIMAX,DOAB,6.793156880122865
2022-01-01,SARIMAX,DOAB,3.126188525036156
2022-02-01,SARIMAX,DOAB,0.11469175285290589
2022-03-01,SARIMAX,DOAB,5.259522486493722
2022-04-01,SARIMAX,DOAB,5.590863736309274
2022-05-01,SARIMAX,DOAB,-2.0867718803594926
2022-06-01,SARIMAX,DOAB,2.5625456203656825
2022-07-01,SARIMAX,DOAB,-2.486299829492822
2022-08-01,SARIMAX,DOAB,-3.0124871700431015
2022-09-01,SARIMAX,DOAB,-9.08741291109132
2020-10-01,SARIMAX,DOAC,-12.050712780010315
2020-11-01,SARIMAX,DOAC,-5.342940368895086
2020-12-01,SARIMAX,DOAC,-7.612484728054881
2021-01-01,SARIMAX,DOAC,-14.624262201247348
2021-02-01,SARIMAX,DOAC,-15.285045276261087
2021-03-01,SARIMAX,DOAC,-2.116025901202761
2021-04-01,SARIMAX,DOAC,-5.984578416830402
2021-05-01,SARIMAX,DOAC,-0.45790428546860085
2021-06-01,SARIMAX,DOAC,-16.898634456775028
2021-07-01,SARIMAX,DOAC,-9.00371049078717
2021-08-01,SARIMAX,DOAC,-13.875616803108073
2021-09-01,SARIMAX,DOAC,-12.389074364040482
2021-10-01,SARIMAX,DOAC,-10.053038982018847
2021-11-01,SARIMAX,DOAC,-13.236610277014108
2021-12-01,SARIMAX,DOAC,-22.919351532788653
2022-01-01,SARIMAX,DOAC,-22.56158377540413
2022-02-01,SARIMAX,DOAC,-28.944208201571428
2022-03-01,SARIMAX,DOAC,-15.90751621548793
2022-04-01,SARIMAX,DOAC,-34.948480167625405
2022-05-01,SARIMAX,DOAC,-32.35574410546462
2022-06-01,SARIMAX,DOAC,-51.61241767037069
2022-07-01,SARIMAX,DOAC,-49.83091858797707
2022-08-01,SARIMAX,DOAC,-50.70305200773646
